Site,Parameter,SampleDate,Value
Big Glen Lake,Nitrate,1994-07-21,10.0
Big Glen Lake,Nitrate,1994-08-17,30.0
Big Glen Lake,Nitrate,1994-09-30,50.0
Big Glen Lake,Nitrate,1994-11-07,10.0
Big Glen Lake,Nitrate,1995-04-20,60.0
Big Glen Lake,Nitrate,1995-06-19,10.0
Big Glen Lake,Nitrate,1995-07-11,20.0
Big Glen Lake,Nitrate,1995-10-03,10.0
Big Glen Lake,Nitrate,1996-03-19,40.0
Big Glen Lake,Nitrate,1996-05-25,90.0
Big Glen Lake,Nitrate,1996-07-17,30.0
Big Glen Lake,Nitrate,1996-08-17,10.0
Big Glen Lake,Nitrate,1996-09-19,20.0
Big Glen Lake,Nitrate,1996-11-21,10.0
Big Glen Lake,Nitrate,1997-04-24,20.0
Big Glen Lake,Nitrate,1997-06-29,220.0
Big Glen Lake,Nitrate,1997-07-23,10.0
Big Glen Lake,Nitrate,1997-08-13,10.0
Big Glen Lake,Nitrate,1997-09-08,10.0
Big Glen Lake,Nitrate,1998-08-12,10.0
Big Glen Lake,Nitrate,1998-11-09,10.0
Big Glen Lake,Nitrate,1999-04-13,40.0
Big Glen Lake,Nitrate,1999-06-17,20.0
Big Glen Lake,Nitrate,1999-09-21,10.0
Big Glen Lake,Nitrate,2000-04-26,60.0
Big Glen Lake,Nitrate,2000-06-23,280.0
Big Glen Lake,Nitrate,2000-07-26,20.0
Big Glen Lake,Nitrate,2000-08-14,10.0
Big Glen Lake,Nitrate,2000-09-25,10.0
Big Glen Lake,Nitrate,2000-10-19,10.0
Big Glen Lake,Nitrate,2001-05-31,40.0
Big Glen Lake,Nitrate,2001-08-07,10.0
Big Glen Lake,Nitrate,2001-09-27,10.0
Big Glen Lake,Nitrate,2001-10-24,10.0
Big Glen Lake,Nitrate,2001-11-06,10.0
Big Glen Lake,Nitrate,2002-04-23,40.0
Big Glen Lake,Nitrate,2002-05-21,40.0
Big Glen Lake,Nitrate,2002-06-18,10.0
Big Glen Lake,Nitrate,2002-07-15,10.0
Big Glen Lake,Nitrate,2002-08-21,10.0
Big Glen Lake,Nitrate,2002-09-17,60.0
Big Glen Lake,Nitrate,2002-10-16,40.0
Big Glen Lake,Nitrate,2003-04-23,40.0
Big Glen Lake,Nitrate,2003-05-14,30.0
Big Glen Lake,Nitrate,2003-06-16,40.0
Big Glen Lake,Nitrate,2003-08-13,10.0
Big Glen Lake,Nitrate,2003-09-11,10.0
Big Glen Lake,Nitrate,2004-06-03,240.0
Big Glen Lake,Nitrate,2004-07-20,2.0
Big Glen Lake,Nitrate,2004-08-16,2.0
Big Glen Lake,Nitrate,2004-09-21,2.0
Big Glen Lake,Nitrate,2004-10-07,2.0
Big Glen Lake,Nitrate,2005-04-29,44.8
Big Glen Lake,Nitrate,2005-05-31,8.7
Big Glen Lake,Nitrate,2005-07-06,1.4
Big Glen Lake,Nitrate,2005-08-11,1.4
Big Glen Lake,Nitrate,2005-09-08,2.5
Big Glen Lake,Nitrate,2006-06-27,18.0
Big Glen Lake,Nitrate,2006-08-17,1.1
Big Glen Lake,Nitrate,2007-06-01,11.7
Big Glen Lake,Nitrate,2007-07-29,0.9
Big Glen Lake,Nitrate,2007-08-23,0.9
Big Glen Lake,Nitrate,2007-10-23,0.9
Big Glen Lake,Nitrate,2008-07-11,0.9
Big Glen Lake,Nitrate,2008-08-04,0.9
Big Glen Lake,Nitrate,2008-09-09,0.9
Big Glen Lake,Nitrate,2009-06-26,1.2
Big Glen Lake,Nitrate,2009-07-29,1.2
Big Glen Lake,Nitrate,2009-09-09,1.2
Big Glen Lake,Nitrate,2010-05-20,6.2
Big Glen Lake,Nitrate,2011-06-15,13.1
Big Glen Lake,Nitrate,2011-06-15,12.8
Big Glen Lake,Nitrate,2011-07-08,1.0
Big Glen Lake,Nitrate,2011-08-09,1.0
Big Glen Lake,Nitrate,2011-09-07,1.0
Big Glen Lake,Nitrate,2011-09-07,1.0
Big Glen Lake,Nitrate,2011-10-14,1.0
Big Glen Lake,Nitrate,2011-10-14,1.0
Big Glen Lake,Nitrate,2012-05-15,66.3
Big Glen Lake,Nitrate,2012-07-25,1.5
Big Glen Lake,Nitrate,2012-09-15,1.5
Big Glen Lake,Nitrate,2014-07-10,21.8
Big Glen Lake,Nitrate,2014-08-11,4.3
Big Glen Lake,Nitrate,2014-09-17,1.1
Big Glen Lake,Nitrate,2015-07-06,27.2
Big Glen Lake,Nitrate,2015-08-14,9.9
Big Glen Lake,Nitrate,2015-09-19,1.1
Big Glen Lake,Nitrate,2015-10-21,1.1
Big Glen Lake,Nitrate,2016-04-20,44.8
Big Glen Lake,Nitrate,2016-06-14,35.4
Big Glen Lake,Nitrate,2016-07-13,14.9
Big Glen Lake,Nitrate,2016-09-12,1.1
Big Glen Lake,Nitrate,2016-10-14,1.1
Big Glen Lake,Nitrate,2017-05-03,45.8
Big Glen Lake,Nitrate,2017-06-15,9.1
Big Glen Lake,Nitrate,2017-07-12,4.9
Big Glen Lake,Nitrate,2017-08-08,1.4
Big Glen Lake,Nitrate,2017-09-12,1.4
Big Glen Lake,Nitrate,2017-11-06,3.5
Big Glen Lake,Nitrate,2018-05-14,38.6
Big Glen Lake,Nitrate,2018-06-19,21.0
Big Glen Lake,Nitrate,2018-07-18,13.2
Big Glen Lake,Nitrate,2018-08-18,3.8
Big Glen Lake,Nitrate,2018-09-23,3.8
Big Glen Lake,Nitrate,2018-10-29,3.8
Big Glen Lake,Nitrate,2019-04-21,57.2
Big Glen Lake,Nitrate,2019-06-17,58.2
Big Glen Lake,Nitrate,2019-07-18,39.1
Big Glen Lake,Nitrate,2019-08-21,3.7
Big Glen Lake,Nitrate,2019-09-18,3.7
Big Glen Lake,Nitrate,2019-10-18,3.7
Big Glen Lake,Nitrate,2020-05-13,74.5
Big Glen Lake,Nitrate,2020-08-17,3.9
Big Glen Lake,Nitrate,2020-09-21,3.9
Big Glen Lake,Nitrate,2020-11-05,19.2
Big Glen Lake,Nitrate,2021-05-12,67.4
Big Glen Lake,Nitrate,2021-09-22,4.0
Big Glen Lake,Nitrate,2022-05-23,64.2
Big Glen Lake,Nitrate,2022-06-23,50.2
Big Glen Lake,Nitrate,2022-08-04,3.0
Big Glen Lake,Nitrate,2022-09-29,3.0
Big Glen Lake,Nitrate,2022-10-31,12.1
Big Glen Lake,Nitrate,2023-05-10,61.4
Big Glen Lake,Nitrate,2023-06-07,49.6
Big Glen Lake,Nitrate,2023-07-14,26.2
Big Glen Lake,Nitrate,2023-08-08,13.6
Big Glen Lake,Nitrate,2024-05-02,56.5
Big Glen Lake,Nitrate,2024-06-11,25.6
Big Glen Lake,Nitrate,2025-05-09,47.0
Big Glen Lake,Nitrate,2025-06-05,41.0
Big Glen Lake,Nitrate,2025-06-05,90.2
Big Glen Lake,Nitrate,2025-07-02,31.1
Big Glen Lake,Nitrate,2025-08-07,7.2
Big Glen Lake,Nitrate,2025-09-10,2.9
Big Glen Lake,Nitrate,2025-10-02,25.0
Big Glen Lake,Secchi Depth,1990-06-05,17
Big Glen Lake,Secchi Depth,1990-06-26,19.5
Big Glen Lake,Secchi Depth,1990-07-24,16
Big Glen Lake,Secchi Depth,1990-08-07,15
Big Glen Lake,Secchi Depth,1990-08-29,23.5
Big Glen Lake,Secchi Depth,1990-11-14,22
Big Glen Lake,Secchi Depth,1991-04-23,17.5
Big Glen Lake,Secchi Depth,1991-05-13,16.5
Big Glen Lake,Secchi Depth,1991-06-11,18.5
Big Glen Lake,Secchi Depth,1991-06-24,17.6
Big Glen Lake,Secchi Depth,1991-07-16,13
Big Glen Lake,Secchi Depth,1991-08-30,16.5
Big Glen Lake,Secchi Depth,1991-10-04,19
Big Glen Lake,Secchi Depth,1992-05-06,20
Big Glen Lake,Secchi Depth,1992-06-24,19
Big Glen Lake,Secchi Depth,1992-07-24,16.5
Big Glen Lake,Secchi Depth,1992-08-06,13
Big Glen Lake,Secchi Depth,1992-08-27,19.5
Big Glen Lake,Secchi Depth,1992-09-23,23.5
Big Glen Lake,Secchi Depth,1992-10-21,22
Big Glen Lake,Secchi Depth,1993-04-27,23.5
Big Glen Lake,Secchi Depth,1993-06-10,19
Big Glen Lake,Secchi Depth,1993-07-21,15
Big Glen Lake,Secchi Depth,1993-09-16,24
Big Glen Lake,Secchi Depth,1993-11-09,22
Big Glen Lake,Secchi Depth,1994-04-30,20
Big Glen Lake,Secchi Depth,1994-06-21,22.5
